# Block-id-related strings

  @ 113c9e24  ""CMIC_COMMON_STRAP_STATUS_0""
  @ 113c9e40  ""CMIC_COMMON_STRAP_STATUS_1""
  @ 113c9e5c  ""CMIC_FSRF_STBY_CONTROL""
  @ 113c9e74  ""CMIC_PCIE_USERIF_TIMEOUT""
  @ 113c9e90  ""CMIC_PCIE_USERIF_STATUS""
  @ 113c9ea8  ""CMIC_PCIE_USERIF_STATUS_CLR""
  @ 113c9ec4  ""CMIC_PCIE_USERIF_STATUS_MASK""
  @ 113c9ee4  ""CMIC_PCIE_USERIF_PURGE_CONTROL""
  @ 113c9f04  ""CMIC_PCIE_USERIF_PURGE_STATUS""
  @ 113c9f24  ""CMIC_SEMAPHORE_1""
  @ 113c9f38  ""CMIC_SEMAPHORE_1_SHADOW""
  @ 113c9f50  ""CMIC_SEMAPHORE_2""
  @ 113c9f64  ""CMIC_SEMAPHORE_2_SHADOW""
  @ 113c9f7c  ""CMIC_SEMAPHORE_3""
  @ 113c9f90  ""CMIC_SEMAPHORE_3_SHADOW""
  @ 113c9fa8  ""CMIC_SEMAPHORE_4""
  @ 113c9fbc  ""CMIC_SEMAPHORE_4_SHADOW""
  @ 113c9fd4  ""CMIC_SEMAPHORE_5""
  @ 113c9fe8  ""CMIC_SEMAPHORE_5_SHADOW""
  @ 113ca000  ""CMIC_SEMAPHORE_6""
  @ 113ca014  ""CMIC_SEMAPHORE_6_SHADOW""
  @ 113ca02c  ""CMIC_SEMAPHORE_7""
  @ 113ca040  ""CMIC_SEMAPHORE_7_SHADOW""
  @ 113ca058  ""CMIC_SEMAPHORE_8""
  @ 113ca06c  ""CMIC_SEMAPHORE_8_SHADOW""
  @ 113ca084  ""CMIC_SEMAPHORE_9""
  @ 113ca098  ""CMIC_SEMAPHORE_9_SHADOW""
  @ 113ca0b0  ""CMIC_SEMAPHORE_10""
  @ 113ca0c4  ""CMIC_SEMAPHORE_10_SHADOW""
  @ 113ca0e0  ""CMIC_SEMAPHORE_11""
  @ 113ca0f4  ""CMIC_SEMAPHORE_11_SHADOW""
  @ 113ca110  ""CMIC_SEMAPHORE_12""
  @ 113ca124  ""CMIC_SEMAPHORE_12_SHADOW""
  @ 113ca140  ""CMIC_SEMAPHORE_13""
  @ 113ca154  ""CMIC_SEMAPHORE_13_SHADOW""
  @ 113ca170  ""CMIC_SEMAPHORE_14""
  @ 113ca184  ""CMIC_SEMAPHORE_14_SHADOW""
