# BCM SDK Register Name Table extracted from switchd
# Table base: 11bcac14
# 36896 valid entries, 0 null/skipped, scanned 36896 slots

# reg_id  | name
# --------+----------------------
0x01e1   AXIIC_PCIE1_S0_FN_MOD_BM_ISS
0x01e2   AXIIC_PCIE1_S0_SECURITY
0x01e3   AXIIC_PCIE2_M0_AR_B
0x01e4   AXIIC_PCIE2_M0_AR_P
0x01e5   AXIIC_PCIE2_M0_AR_R
0x01e6   AXIIC_PCIE2_M0_AW_B
0x01e7   AXIIC_PCIE2_M0_AW_P
0x01e8   AXIIC_PCIE2_M0_AW_R
0x01e9   AXIIC_PCIE2_M0_FN_MOD
0x01ea   AXIIC_PCIE2_M0_KI
0x01eb   AXIIC_PCIE2_M0_MAX_COMB_OT
0x01ec   AXIIC_PCIE2_M0_MAX_OT
0x01ed   AXIIC_PCIE2_M0_QOS_CNTL
0x01ee   AXIIC_PCIE2_M0_QOS_RANGE
0x01ef   AXIIC_PCIE2_M0_READ_QOS
0x01f0   AXIIC_PCIE2_M0_TGT_LATENCY
0x01f1   AXIIC_PCIE2_M0_WRITE_QOS
0x01f2   AXIIC_PCIE2_S0_FN_MOD_BM_ISS
0x01f3   AXIIC_PCIE2_S0_SECURITY
0x01f4   AXIIC_PERIPHERAL_ID0
0x01f5   AXIIC_PERIPHERAL_ID1
0x01f6   AXIIC_PERIPHERAL_ID2
0x01f7   AXIIC_PERIPHERAL_ID3
0x01f8   AXIIC_PERIPHERAL_ID4
0x01f9   AXIIC_PERIPHERAL_ID5
0x01fa   AXIIC_PERIPHERAL_ID6
0x01fb   AXIIC_PERIPHERAL_ID7
0x01fc   AXIIC_PNOR_S0_FN_MOD_BM_ISS
0x01fd   AXIIC_QSPI_S0_FN_MOD_BM_ISS
0x01fe   AXIIC_QSPI_S0_SECURITY
0x01ff   AXIIC_REMAP
0x0200   AXIIC_ROM_S0_FN_MOD_BM_ISS
0x0201   AXIIC_SATA_M0_AR_B
0x0202   AXIIC_SATA_M0_AR_P
0x0203   AXIIC_SATA_M0_AR_R
0x0204   AXIIC_SATA_M0_AW_B
0x0205   AXIIC_SATA_M0_AW_P
0x0206   AXIIC_SATA_M0_AW_R
0x0207   AXIIC_SATA_M0_FN_MOD
0x0208   AXIIC_SATA_M0_KI
